abandonment,give up,noun,
abatement,cancel,noun,
abduction,take,noun,
ab initio,from the start,adverb,
abovementioned,,,
abscond,flee,verb,
absolute discharge,released,verb,
absolute owner,sole owner,noun,
abstract of title,title,noun,
abuttals,borders,noun,
acquit,not guilty,verb,
acquittal,not charged,noun,
actus reus,illegal,noun,
ademption,does not exist,,
ad hoc,for a specific purpose,adjective,
ad idem,in agreement,noun,
ad infinitum,forever,adverb,
adjourned sine die,leave,verb,
adjournment,postpone,noun,
adjudicate,judge,verb,
admission,agreement,noun,
ad valorem,proportional,adverb,
affidavit,statement,noun,
aiding,help commit a crime,verb,
abetting,help commit a crime,verb,
alias,false name,noun,
all and sundry,everybody,noun,
allegation,unproved statement,noun,
amalgamation,combining,noun,
ambiguity,unclear,noun,
ambulatory,living document,adjective,
annul,invalidate,verb,
ante,cancel,verb,
antecedents,background,noun,
antenuptial,premarital agreement,noun,
appeal,ask to overturn,verb,
audit,examination,noun,
bench warrant,warrant of arrest,noun,
beneficiary,someone who benefits,noun,
bequeath,to leave something,verb,
bona fide,genuine,adjective,
bona vacantia,not owned,adjective,
capital gain,profits off assets,noun,
caveat,warning,noun,
writ of certiorari,order to review,noun,
charge,formal accusation,verb,
citation,notice,noun,
claim,demand remedy,noun,
claimant,the person making a claim,noun,
clause,section,noun,
coercion,force,noun,
coerced,forced,verb,
collateral,extra security,noun,
contempt of court,misbehvaing,verb,
corpus delicti,evidence,noun,
creditor,a person you owe money to,noun,
culpa,at fault,,
cum dividend,with dividend,adverb,
debt,money owed,noun,
debtor,the one who owes money,noun,
decree,order,noun,
deed,document of ownership,noun,
de facto,in fact,adverb,
de jure,rightfully,adverb,
dependant,financially reliant,noun,
depreciation,drop in value,verb,
discharge,release,verb,
easement,right of way,noun,
estate,all assets,noun,
ex gratia,a favor,adjective,
ex parte,without notice,adjective,
ex post facto,restroactive,adjective,
force majeure,unforeseeable circumstances,noun,
forbearance,refraining pursuit,noun,
foreclosure,repossession,noun,
forfeiture,loss of property,noun,
habeas corpus,order to release,noun,
indict,accuse,verb,
joint,shared,adjective,
,,,
litigation,legal action,verb,
mens rea,intent to commit a crime,noun,
perjury,lying,verb,
per pro,on behalf of,,
per,by,,
per quod,in accordance with,,
per se,in itself,,
personal representative,representative of the estate,noun,
probate,estate authority,noun,
pro rata,in proportion,adjective,
registrar,official,noun,
res ipsa loquitur,the facts speak for themselves.,,
capital,money,noun,
sine die,indefinitely,noun,
statute of limitation,time limit,noun,
sub judice,cannot be discussed outside of court,adjective,
subpoena,summon information,verb,
supra,above,preposition,
tort,cause harm,verb,
trust,financial agreement,noun,
uberrimae fidei,of the utmost good faith,noun,
ultra vires,beyond one's powers,noun,
ward,protected minor,noun,
writ,order,noun,
a large number of,many,,
a number of,some,,
accord,give,,
accord respect to,respect,,
acquire,get,,
additional,more,,
additionally,also,,
adjacent to,next to,,
advert to,mention,,
afforded,given,,
aforementioned,,,
ambit,reach,,
amidst,amid,,
amongst,among,,
any and all,all,,
approximately,about,,
as to,about,,
ascertain,find out,,
assist,help,,
at present,now,,
at the place,where,,
at the present time,now,,
at this point in time,now,,
at this time,now,,
attempt,try,,
because of the fact that,because,,
cease,stop,,
cease and desist,stop,,
circumstances in which,when,,
cognizant of,knows,,
commence,start,,
conceal,hide,,
concerning the matter of,about,,
consensus of opinion,consensus,,
consequence,result,,
contiguous to,next to,,
demonstrate,show,,
desire,want,,
despite the fact that,although,,
does not operate to,does not,,
donate,give,,
due to,because,,
due to the fact that,because,,
during the course of,during,,
during the time that,while,,
e.g.,for example,,
echelon,level,,
elucidate,explain,,
endeavor,try,verb,
evince,show,,
excessive number of,too many,,
exclusively,only,,
exit,leave,verb,
facilitate,help,,
firstly,first,,
secondly,second,,
for the duration of,during,,
for the purpose of doing,to do,,
for the reason that,because,,
forthwith,immediately,,
frequently,often,,
fundamental,basic,,
has a negative impact,hurts,,
hereby,,,
herein,,,
hereinabove,above,,
hereinafter,below,,
hereinbefore,above,,
hereto,,,
heretofore,,,
hereunder,under this agreement,,
i would argue that / it is arguable that / it could be argued that,,,
i.e.,in other words,,
in a case in which,when,,
in accordance with,by,,
in any manner whatsoever,,,
in close proximity,near,,
in lieu of,instead of,,
in light of the fact that,"because, given that",,
in order to,to,,
in point of fact,,,
in reference to,about,,
in regard to,about,,
in the course of,during,,
in the event that,if,,
in witness whereof,Signed,,
indicate,show,,
individual,person,noun,
inquire,ask,,
instant case,here,,
inter alia,among other things,,
is able to,can,,
is binding on,binds,,
is desirous of,wants,,
is dispositive of,disposes of,,
is unable to,cannot,,
it has been determined that,,,
it is apparent that,,,
it is clear that,,,
it should be noted that,,,
know ye by all men present,,,
literally,,,
locate,find,,
manner,way,,
methodology,method,,
modify,change,,
mutatis mutandis,with the necessary changes,,
negatively affect,hurt,,
notify,tell,,
notwithstanding,despite,,
null and void,void,,
numerous,many,,
objective,goal,noun,
observe,watch,,
obtain,get,,
on a number of occasions,often,,
on the part of,by,,
owing to the fact that,because,,
pari passu,equally,,
per annum,per year,,
period of time,time,,
permit,allow,,
personnel,people,,
point in time,time,,
portion,part,,
possess,have,,
prima facie,it appears,,
prior to,before,,
procure,get,,
provide,give,,
provided that,if,,
provision [of the agreement],term,,
provision of law,law,,
purchase,buy,,
pursuant to,under,,
rate of speed,speed,,
referred to as,called,,
remainder,rest,,
render assistance,help,,
request,ask,verb,
require,need,,
retain,keep,,
"sell, transfer, and assign",sell,,
set forth,,,
subsequent,later,,
subsequent to,after,,
subsequently,after,,
substantiate,prove,,
sufficient,enough,,
sufficient number of,enough,,
termination,ending,,
the case at bar,this case,,
the fact that,that,,
the instant case,this case,,
the manner in which,how,,
thereafter,later in it,,
therein,from,,
thereof,of that,,
thereto,about,,
this case is distinguishable,this case is different,,
to the effect that,that,,
until such time as,until,,
upon,on,,
utilize,use,,
very,,,
was aware,knew,,
,,,
wherein,in the,,
whilst,while,,
with respect to,in connection with,,
shall,will,,
by and between,by,,
be effective,start,,
covenants,agreements,,
in accordance with,by,,
terminate,end,,
execute,make,,
executed,made,,
applicable,,,
expressly,,,
permitted,allowed,,
permit,allow,,
in respect of,with,,
in respect to,with,,
by and between,by,,
collectively,both,,
damages,money,,
shall be comprised of,include,,
in loco parentis,in place of a parent,,
in pari delicto,in equal offense,,
of that certain personal residence,of the residence,,
on the terms and conditions set forth herein,on these terms,,
strike,remove,,
after the expiration,after this expires,,
whereas,taking into consideration that,,
any holding over,If the tenant continues to stay after the end of the agreement,,
earlier termination of the term without landlord’s prior written consent,ends this contract without the Landlord's written consent,,lowercase boi
